,user_name,user_location,user_description,user_verified,date,text,hashtags,source
128,Earl Lauderback,"Atlanta, GA","Retired Educator, Husband, Father, & Grand Father. Believer & Promoter of Civil Rights for Diversity, Total Inclusion, Social INTEGRITY & A Better FUTURE.",False,2022-06-29 13:27:53+00:00,@YahooEnt: Whoopi Goldberg calls out Clarence Thomas on ‘The View’: 'You better hope they don’t come for you next' https://t.co/BqDs553Y…,,Twitter for iPhone
129,runka,Poland,"I am not actually tired, but numb and heavy, and can’t find the right words. All I can say is: Stay with me, don’t leave me.
 ona/jej",False,2022-06-29 13:22:58+00:00,@YahooEnt: R. Kelly to be sentenced in sex-trafficking case: The Refresh https://t.co/7fR12YYSn6 https://t.co/3CpdnTRzpX,,Twitter Web App
130,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 13:22:27+00:00,R. Kelly to be sentenced in sex-trafficking case: The Refresh https://t.co/7fR12YYSn6 https://t.co/3CpdnTRzpX,,SocialFlow
131,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 13:18:52+00:00,Alexandria Ocasio-Cortez calls out Mark Meadows for seeking pardon: 'He knew he was breaking the law' https://t.co/ZbhuYazCK7 https://t.co/dffTp9w8JQ,,SocialFlow
132,Micheal Soriano,❤️ of 🏆 Downtown LA,Welcome everybody to LA world 🌎,False,2022-06-29 13:08:15+00:00,@YahooEnt: Winona Ryder says Michelle Pfeiffer gave her advice as she struggled with fame: 'I couldn't hear it' https://t.co/iPC50q2MYG…,,Twitter Web App
133,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 13:08:01+00:00,Winona Ryder says Michelle Pfeiffer gave her advice as she struggled with fame: 'I couldn't hear it' https://t.co/iPC50q2MYG https://t.co/uYGugs6IoE,,SocialFlow
134,Not As Good As Octopussy,,No film is as good as Octopussy. Anyone who is nasty about Octopussy will be BLOCKTOPUSSIED.,False,2022-06-29 12:22:54+00:00,"@YahooEnt Great film, but let's face facts - it's no Octopussy.",,Twitter Web App
135,Micheal Soriano,❤️ of 🏆 Downtown LA,Welcome everybody to LA world 🌎,False,2022-06-29 12:17:09+00:00,@YahooEnt: Elvis Presley's daughter writes extremely emotional response to the release of the new 'Elvis' movie https://t.co/TgEFcPiKGt…,,Twitter Web App
136,Albert F. Warner,WORLDWIDE,VR STUDIO SUITE | PhD 🇺🇸 | DEVELOPMENT | WORLD SALES | #MovieSeason2022,False,2022-06-29 12:13:19+00:00,IN PRODUCTION | 'Barbie' (2023) | @wbpictures | $WBD | photo still provided @YahooEnt | #MovieSeason2023 https://t.co/XZElhmFIGn,['MovieSeason2023'],Twitter for Android
137,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 12:11:20+00:00,Elvis Presley's daughter writes extremely emotional response to the release of the new 'Elvis' movie https://t.co/TgEFcPiKGt https://t.co/TQm7qfzCGE,,SocialFlow
138,April Ann Adventures,Roadtrip Roamin,"“Life is like a box of chocolates, you never know what you’re gonna get.”",False,2022-06-29 11:52:58+00:00,@YahooEnt Thank you for sharing this,,Twitter for iPad
139,April Ann Adventures,Roadtrip Roamin,"“Life is like a box of chocolates, you never know what you’re gonna get.”",False,2022-06-29 11:52:50+00:00,@YahooEnt: 'AGT' gives Willie Nelson protégé a second chance after her 'life was flipped upside-down' https://t.co/nsqvUE5iQE https://t.…,,Twitter for iPad
140,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 11:48:41+00:00,"16 new music documentaries ready to rock your world, from Machine Gun Kelly to Lil Baby https://t.co/oXwaMx9BnY https://t.co/62yvTZT42P",,SocialFlow
141,Micheal Soriano,❤️ of 🏆 Downtown LA,Welcome everybody to LA world 🌎,False,2022-06-29 11:42:57+00:00,@YahooEnt: NBC to raise money for Ukraine with primetime special featuring Volodymyr Zelenskyy https://t.co/p4Art53ejz https://t.co/XmZp…,,Twitter Web App
142,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 11:23:53+00:00,BTS's hiatus is nothing like One Direction's split - here's why https://t.co/VMKipdnFMk https://t.co/gamlJ4pFag,,SocialFlow
143,Miss V ✨,"East Coast, USA","East Coast Gal. Filipina. Kitchen witch. Science by day, writer by night. She/her",False,2022-06-29 11:09:04+00:00,@Nymphomachy: Bro you followed Dan Crenshaw and a bunch of alt-right goons on Twitter. https://t.co/xE9f8O9UnY,,Talon Android
144,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 10:59:14+00:00,Joey King shares her and Steven Piet's hilarious engagement story https://t.co/j41zByw9WK https://t.co/MfDg01C2UW,,SocialFlow
145,Angie Lynch,"Liverpool, England",Family👨‍👩‍👧‍👦 Scouser😘 LFC Season Ticket Holder♥️ YNWA💙💛,False,2022-06-29 10:52:33+00:00,@YahooEnt: Travis Scott sued for inciting 'hazardous' crowd that led to injury at Rolling Loud 2019 https://t.co/L7iy2Y2dBL https://t.co…,,Twitter for iPhone
146,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 10:38:42+00:00,Hugh Bonneville on future of ‘Downton Abbey’: 'It might be the right time to stop' https://t.co/mZdBRNRbs9 https://t.co/0ZrWKNre5F,,SocialFlow
147,Claudia,"Zúrich, Suiza","Perú-Italia 🇵🇪🇮🇹 Mamá de Ale, beatlemaniaca, aliancista, Ravenclaw, adicta al café, periodista. #orgullofriki",False,2022-06-29 10:23:23+00:00,"@YahooEnt: Busy Philipps, 43, says she's never had Botox, fillers: 'People have actually accused me of work' https://t.co/OFKQD8rcUx htt…",,Twitter for Android
148,Baz Luhrmann's Wonder Woman Umbrella,SPACE PLACE WHAT'S IN SPACE,"She/her. Nerd

Writer, sometimes tabletop game dev. 
MY WARFRAME IS STRONG",False,2022-06-29 10:18:46+00:00,@YahooEnt Try not being the worst Chris then,,Twitter for Android
149,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 10:14:17+00:00,"A timeline of the Jeffrey Epstein, Ghislaine Maxwell scandal https://t.co/GO96UbfI1N https://t.co/8rzPBcKr8V",,SocialFlow
150,Irene DeStefano,"Iowa, USA",We were hanging on by white fingertips if we were even hanging on at all ~ 💗💜💙,False,2022-06-29 10:07:04+00:00,@SourceDuMal: Well he's still the worst Chris. So.,,Twitter for Android
151,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 09:50:09+00:00,Lauren Conrad reveals she had an ectopic pregnancy while addressing Roe v. Wade reversal https://t.co/sZW8H3Rfmj https://t.co/icSgTkyhGF,,SocialFlow
152,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 09:28:58+00:00,Margot Robbie’s viral ‘Barbie’ costumes are created by Oscar-winning ‘Little Women’ costume designer https://t.co/Gwutrg1sxf https://t.co/5ICLyXXMJ7,,SocialFlow
153,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 09:05:45+00:00,Alice Cooper signs with CAA for touring in North America https://t.co/RNMzzUTq5U https://t.co/yifECdLIEL,,SocialFlow
154,Kaul,,,False,2022-06-29 09:05:45+00:00,"@YahooEnt: Depeche Mode co-founder Andy Fletcher's death was caused by an 'aortic dissection,' band confirms https://t.co/TqGfoSsTPf htt…",,Twitter for iPhone
155,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 08:42:36+00:00,Sony dates ‘Ghostbusters’ sequel for 2023 https://t.co/eDB9QFsB09 https://t.co/ZhBXOAzA3g,,SocialFlow
156,Jack Alderton,"Edinburgh, Scotland","Writer, Social Justice Bard, Procrastinator. Looks like young Lennon, dresses like a 90s Punk, sounds like Wallace. Knows where his towel is. He/Him.",False,2022-06-29 08:40:08+00:00,@Nymphomachy: Bro you followed Dan Crenshaw and a bunch of alt-right goons on Twitter.,,Twitter for Android
